Sigla,Código,Município,1998
BA,2922730,Nova Fátima,39.6319444444
BA,2922755,Nova Ibiá,39.6255555556
BA,2922805,Nova Itarana,40.0686111111
BA,2922854,Nova Redenção,41.0711111111
BA,2922904,Nova Soure,38.4833333333
BA,2923001,Nova Viçosa,39.3719444444
BA,2923035,Novo Horizonte,42.1677777778
BA,2923050,Novo Triunfo,38.4083333333
BA,2923100,Olindina,38.3333333333
BA,2923209,Oliveira dos Brejinhos,42.8961111111
BA,2923308,Ouriçangas,38.6166666667
BA,2923357,Ourolândia,41.0830555556
BA,2923407,Palmas de Monte Alto,43.1619444444
BA,2923506,Palmeiras,41.5588888889
BA,2923605,Paramirim,42.2388888889
BA,2923704,Paratinga,43.1841666667
BA,2923803,Paripiranga,37.8616666667
BA,2923902,Pau Brasil,39.6511111111
BA,2924009,Paulo Afonso,38.2147222222
BA,2924058,Pé de Serra,39.6125
BA,2924108,Pedrão,38.65
BA,2924207,Pedro Alexandre,37.8941666667
BA,2924306,Piatã,41.7727777778
BA,2924405,Pilão Arcado,42.5044444444
BA,2924504,Pindaí,42.6872222222
BA,2924603,Pindobaçu,40.3608333333
BA,2924652,Pintadas,39.9086111111
BA,2924678,Piraí do Norte,39.3788888889
BA,2924702,Piripá,41.72
BA,2924801,Piritiba,40.5552777778
BA,2924900,Planaltino,40.3688888889
BA,2925006,Planalto,40.4711111111
BA,2925105,Poções,40.3652777778
BA,2925204,Pojuca,38.3277777778
BA,2925253,Ponto Novo,40.1336111111
BA,2925303,Porto Seguro,39.0647222222
BA,2925402,Potiraguá,39.8766666667
BA,2925501,Prado,39.2208333333
BA,2925600,Presidente Dutra,41.9866666667
BA,2925709,Presidente Jânio Quadros,41.6783333333
BA,2925758,Presidente Tancredo Neves,39.4213888889
BA,2925808,Queimadas,39.6263888889
BA,2925907,Quijingue,39.2091666667
BA,2925931,Quixabeira,40.1283333333
BA,2925956,Rafael Jambeiro,39.5013888889
BA,2926004,Remanso,42.0813888889
BA,2926103,Retirolândia,39.4255555556
BA,2926202,Riachão das Neves,44.91
BA,2926301,Riachão do Jacuípe,39.3855555556
BA,2926400,Riacho de Santana,42.9388888889
BA,2926509,Ribeira do Amparo,38.4333333333
BA,2926608,Ribeira do Pombal,38.5358333333
BA,2926657,Ribeirão do Largo,40.7411111111
BA,2926707,Rio de Contas,41.8113888889
BA,2926806,Rio do Antônio,42.0755555556
BA,2926905,Rio do Pires,42.2919444444
BA,2927002,Rio Real,37.9327777778
BA,2927101,Rodelas,38.7666666667
BA,2927200,Ruy Barbosa,40.4938888889
BA,2927309,Salinas da Margarida,38.7644444444
BA,2927408,Salvador,38.5108333333
BA,2927507,Santa Bárbara,38.975
BA,2927606,Santa Brígida,38.1277777778
BA,2927705,Santa Cruz Cabrália,39.0247222222
BA,2927804,Santa Cruz da Vitória,39.8116666667
BA,2927903,Santa Inês,39.8188888889
BA,2928000,Santaluz,39.3747222222
BA,2928059,Santa Luzia,39.3341666667
BA,2928109,Santa Maria da Vitória,44.1886111111
BA,2928208,Santana,44.0511111111
BA,2928307,Santanópolis,38.8666666667
BA,2928406,Santa Rita de Cássia,44.5194444444
BA,2928505,Santa Teresinha,39.5233333333
BA,2928604,Santo Amaro,38.7119444444
BA,2928703,Santo Antônio de Jesus,39.2613888889
BA,2928802,Santo Estêvão,39.2513888889
BA,2928901,São Desidério,44.9733333333
BA,2928950,São Domingos,39.5261111111
BA,2929008,São Félix,38.9722222222
BA,2929057,São Félix do Coribe,44.1947222222
BA,2929107,São Felipe,39.0894444444
BA,2929206,São Francisco do Conde,38.68
BA,2929255,São Gabriel,41.9119444444
BA,2929305,São Gonçalo dos Campos,38.9666666667
BA,2929354,São José da Vitória,39.3391666667
BA,2929370,São José do Jacuípe,40.0222222222
BA,2929404,São Miguel das Matas,39.4555555556
BA,2929503,São Sebastião do Passé,38.4952777778
BA,2929602,Sapeaçu,39.1819444444
BA,2929701,Sátiro Dias,38.6
BA,2929750,Saubara,38.7686111111
BA,2929800,Saúde,40.4188888889
BA,2929909,Seabra,41.7702777778
BA,2930006,Sebastião Laranjeiras,42.9402777778
BA,2930105,Senhor do Bonfim,40.1894444444
BA,2930154,Serra do Ramalho,43.5966666667
BA,2930204,Sento Sé,41.8852777778
BA,2930303,Serra Dourada,43.9497222222
BA,2930402,Serra Preta,39.3316666667
BA,2930501,Serrinha,39.0075
BA,2930600,Serrolândia,40.3016666667
BA,2930709,Simões Filho,38.4038888889
BA,2930758,Sítio do Mato,43.4652777778
BA,2930766,Sítio do Quinto,38.2166666667
BA,2930774,Sobradinho,40.8233333333
BA,2930808,Souto Soares,41.6377777778
BA,2930907,Tabocas do Brejo Velho,44.0066666667
BA,2931004,Tanhaçu,41.2480555556
BA,2931053,Tanque Novo,42.4913888889
BA,2931103,Tanquinho,39.1038888889
BA,2931202,Taperoá,39.0986111111
BA,2931301,Tapiramutá,40.7913888889
BA,2931350,Teixeira de Freitas,39.7419444444
BA,2931400,Teodoro Sampaio,38.6283333333
BA,2931509,Teofilândia,38.9977777778
BA,2931608,Teolândia,39.4913888889
BA,2931707,Terra Nova,38.625
BA,2931806,Tremedal,41.4108333333
BA,2931905,Tucano,38.7866666667
BA,2932002,Uauá,39.4816666667
BA,2932101,Ubaíra,39.6627777778
BA,2932200,Ubaitaba,39.3233333333
BA,2932309,Ubatã,39.5227777778
BA,2932408,Uibaí,42.1325
BA,2932457,Umburanas,41.3263888889
BA,2932507,Una,39.0752777778
BA,2932606,Urandi,42.655
BA,2932705,Uruçuca,39.2844444444
BA,2932804,Utinga,41.0944444444
BA,2932903,Valença,39.0730555556
BA,2933000,Valente,39.4619444444
BA,2933059,Várzea da Roça,40.1372222222
BA,2933109,Várzea do Poço,40.3202777778
BA,2933158,Várzea Nova,40.9419444444
BA,2933174,Varzedo,39.3938888889
BA,2933208,Vera Cruz,38.6086111111
BA,2933257,Vereda,40.085
BA,2933307,Vitória da Conquista,40.8394444444
BA,2933406,Wagner,41.1683333333
BA,2933455,Wanderley,43.8875
BA,2933505,Wenceslau Guimarães,39.4794444444
BA,2933604,Xique-Xique,42.7311111111
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,39.0455555556
CE,2300150,Acarapé,38.7083333333
CE,2300200,Acaraú,40.12
CE,2300309,Acopiara,39.4525
CE,2300408,Aiuaba,40.1236111111
CE,2300507,Alcântaras,40.5455555556
CE,2300606,Altaneira,39.7405555556
CE,2300705,Alto Santo,38.2716666667
CE,2300754,Amontada,39.5786111111
CE,2300804,Antonina do Norte,39.9891666667
CE,2300903,Apuiarés,39.4316666667
CE,2301000,Aquiraz,38.3911111111
CE,2301109,Aracati,37.7697222222
CE,2301208,Aracoiaba,38.8141666667
CE,2301257,Ararendá,40.8327777778
CE,2301307,Araripe,40.0461111111
CE,2301406,Aratuba,39.045
CE,2301505,Arneiroz,40.1605555556
CE,2301604,Assaré,39.875
CE,2301703,Aurora,38.9675
CE,2301802,Baixio,38.7169444444
CE,2301851,Banabuiú,38.9205555556
CE,2301901,Barbalha,39.3041666667
CE,2301950,Barreira,38.6430555556
CE,2302008,Barro,38.7816666667
CE,2302057,Barroquinha,41.1361111111
CE,2302107,Baturité,38.8847222222
CE,2302206,Beberibe,38.1305555556
CE,2302305,Bela Cruz,40.1677777778
CE,2302404,Boa Viagem,39.7322222222
CE,2302503,Brejo Santo,38.9872222222
CE,2302602,Camocim,40.8411111111
CE,2302701,Campos Sales,40.3761111111
CE,2302800,Canindé,39.3116666667
CE,2302909,Capistrano,38.9013888889
CE,2303006,Caridade,39.1925
CE,2303105,Cariré,40.4733333333
CE,2303204,Caririaçu,39.2836111111
CE,2303303,Cariús,39.4966666667
CE,2303402,Carnaubal,40.9427777778
CE,2303501,Cascavel,38.2419444444
CE,2303600,Catarina,39.8775
