Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AM,1301951,Itamarati,,,,,,,,,,,1,1,1,,1,2,,,,,,,,1,,1,,3,2
AM,1302009,Itapiranga,1,,,1,,1,,1,1,1,,,2,,1,,,,1,,,2,,2,4,2,1,2,1
AM,1302108,Japurá,,,,1,,,,,1,,1,1,,,,,,,,2,,1,,,,,,,
AM,1302207,Juruá,,,,,,,,,,,,,1,,,,,,2,1,2,,,2,1,1,3,,2
AM,1302306,Jutaí,,,,,1,,,,,,1,,,1,1,1,,,,,,3,2,,4,4,,3,4
AM,1302405,Lábrea,,1,3,2,1,,,1,1,1,1,2,4,3,2,1,2,1,7,10,2,6,9,3,7,9,17,27,16
AM,1302504,Manacapuru,2,3,2,2,2,4,3,7,10,6,5,8,10,6,7,9,16,9,24,29,16,19,26,32,50,32,35,26,19
AM,1302553,Manaquiri,,1,1,,,,,,,1,,,1,1,,1,2,2,2,3,3,,3,1,3,3,1,3,1
AM,1302603,Manaus,326,314,358,383,409,421,498,443,465,366,395,443,404,477,528,556,648,748,847,1026,1034,869,916,1130,1002,1187,1053,1076,815
AM,1302702,Manicoré,,,,1,,,,,2,2,2,2,3,,5,2,5,7,6,8,12,17,9,8,10,12,11,10,7
AM,1302801,Maraã,,,,,,,,,,1,1,1,,,1,1,,1,,1,,,1,3,1,,2,5,2
AM,1302900,Maués,3,,1,2,,,2,3,5,4,2,3,6,6,6,2,2,4,15,14,11,13,5,10,14,11,18,21,21
AM,1303007,Nhamundá,,,,,,,1,,,1,2,,,,,,1,,,,,,,1,1,1,,,
AM,1303106,Nova Olinda do Norte,,,1,,,,,1,1,,2,,2,1,1,1,2,,2,4,3,7,5,10,5,6,6,7,14
AM,1303205,Novo Airão,,,,,2,,,,1,4,1,,,,,2,2,2,3,2,1,4,3,5,5,6,6,4,2
AM,1303304,Novo Aripuanã,,,1,,,,,,1,2,2,,1,1,,1,5,4,1,3,6,5,4,3,7,5,3,7,5
AM,1303403,Parintins,1,1,,1,1,,3,7,1,9,8,8,6,6,12,7,12,8,10,11,10,8,9,13,30,17,17,24,16
AM,1303502,Pauini,,,,,,,,,,,,1,,,1,1,1,,2,,,1,1,2,3,3,3,4,8
AM,1303536,Presidente Figueiredo,,,,,2,5,3,5,6,6,2,6,3,7,11,5,8,11,7,10,4,3,12,20,18,7,8,19,16
AM,1303569,Rio Preto da Eva,1,,,,1,,1,1,1,6,3,4,2,3,2,1,4,3,5,5,12,6,9,10,7,11,6,10,7
AM,1303601,Santa Isabel do Rio Negro,,,,,,,,,,,,1,2,,7,1,,1,1,3,4,2,,1,,2,1,1,3
AM,1303700,Santo Antônio do Içá,,,,,,,,,,,,3,1,1,1,2,1,,1,1,1,2,3,1,,5,1,,
AM,1303809,São Gabriel da Cachoeira,,2,,2,1,5,1,,2,,2,3,3,4,3,9,9,5,3,5,6,8,6,5,10,8,12,8,13
AM,1303908,São Paulo de Olivença,,,,,,,1,,1,,1,1,,,1,1,,1,1,3,1,6,3,2,3,,2,1,2
AM,1303957,São Sebastião do Uatumã,,,,1,,,,,,1,2,,1,,,,3,,2,1,,,,,2,1,2,3,
AM,1304005,Silves,,,,,1,1,,,,,,1,,1,,1,,,1,,1,1,,2,,,1,1,
AM,1304062,Tabatinga,1,6,2,1,7,2,3,5,7,9,24,7,8,5,14,19,13,21,15,15,28,27,18,21,22,18,24,38,64
AM,1304104,Tapauá,,,,,,,,,,,,,,,,,1,,1,2,2,2,1,1,1,3,2,1,5
AM,1304203,Tefé,3,1,1,3,2,,,6,8,4,7,5,6,6,2,5,3,3,9,13,9,7,13,4,14,13,21,16,19
AM,1304237,Tonantins,,,,,,,,,,1,,,,,,,,1,,,,,,3,1,,,,1
AM,1304260,Uarini,,,,,,,,,,,,,,,2,1,1,1,5,2,,3,,1,1,1,4,3,2
